system:index,DEM_slope,L4,NDMI_max,NDMI_mean,NDMI_min,NDMI_slope,NDMI_stdDev,NDVI_max,NDVI_mean,NDVI_min,NDVI_slope,NDVI_stdDev,Relative_elevation_100,TCB_max,TCB_mean,TCB_min,TCB_slope,TCB_stdDev,TCG_max,TCG_mean,TCG_min,TCG_slope,TCG_stdDev,TCW_max,TCW_mean,TCW_min,TCW_slope,TCW_stdDev,.geo
0000000000000000055c_0,0.025346203,1,0.94170403,0.5313012,-0.95238096,-589.8336292186407,0.28142310906362955,-0.09570041,-0.3850103,-0.9888268,-577.4513994135218,0.17212034057435605,9.842889,0.30442122,0.10278571,0.02777231,-59.222267000673384,0.05480433010229056,-0.01628582,-0.041730847,-0.15749125,13.085234564739533,0.025088638887453583,0.06593544,0.01678316,-0.015478092,-2.980073015860372,0.014766898078858805,
0000000000000000055d_0,0.37823087,1,0.8364312,0.48577225,0.06122449,-929.6363187594843,0.1976946034391493,-0.014550265,-0.37566727,-0.6765376,-765.1395018123502,0.1612151394053555,15.979259,0.15427937,0.07401268,0.02829528,77.60972401939829,0.02105921102778218,-0.01447537,-0.028339693,-0.04638643,-36.01313131387568,0.007683915376750882,0.026552372,0.011661289,-0.008218147,24.72982271697879,0.006394445192797246,
0000000000000000055e_0,0.112737186,1,0.9025974,0.56201035,0.10380623,-423.3709527297693,0.20399573342502345,0.07346327,-0.42963022,-0.75395036,-170.36866063619223,0.14787459247207843,14.879409,0.2981127,0.09582161,0.04737858,-135.71884886725465,0.03457304931582606,-0.00721393,-0.039878674,-0.10951739,50.22164520083146,0.014124428481979312,0.084282905,0.019031005,-0.012062891,-36.726949230668154,0.012101512023281972,
00000000000000000563_0,0.25314474,1,0.9399586,0.6670392,-0.034685478,-751.940254284443,0.2510770351983322,0.05934066,-0.24244723,-0.5961003,130.03481523760436,0.19059123419408439,1.356423,0.19139323,0.11306209,0.04375153,78.72600963906955,0.031022532380464516,0.00377304,-0.027785366,-0.05987181,6.78957208289343,0.014234016165179213,0.046899635,0.020032456,-0.06845109,11.164549720491362,0.019435233243337513,
00000000000000000564_0,0.54612356,1,0.8335607,0.48989183,0.032,-117.1670852735237,0.2122768539433259,0.15350224,-0.33499217,-0.74873096,-572.4018420866425,0.19204131011877024,3.5468957,0.20093822,0.07676645,0.03204845,-146.63960895763452,0.031743032842771926,-0.00365577,-0.027754733,-0.08221223,46.3362229927699,0.012232507474716613,0.040994905,0.010604827,-0.026967969,26.548534554430436,0.009992496938032659,
00000000000000000568_0,0.49620178,1,0.94133335,0.76797944,0.018595042,-393.05544214546927,0.16941820522529275,0.1702827,-0.06927084,-0.5778547,-1175.4409290138103,0.12514864782170382,20.583752,0.26772758,0.13481899,0.07362137,155.31035020982722,0.029115377702782497,0.0160103,-0.014491403,-0.05650076,-129.2262679970276,0.013519364626621925,0.043485392,0.026459845,-0.101999775,31.741617478500185,0.01895614502151777,
00000000000000000569_0,0.24176428,1,0.79078454,0.4826873,-0.037037037,-304.58399793989054,0.1965751750749642,0.21727395,-0.14336489,-0.67906976,123.81855525497727,0.17322738049289324,10.071463,0.19305697,0.06331375,0.02026778,42.87121400821641,0.03407950463755474,0.00269637,-0.014640433,-0.05299202,-6.511776149739888,0.009232871306567305,0.03831136,0.0059689796,-0.08217407,10.785089149358763,0.012142499503944462,
0000000000000000056a_0,0.08311934,1,0.80451125,0.45145524,-0.02631579,-1219.6342623993592,0.19019323005188452,0.18202247,-0.2185028,-0.65013057,-519.2997661603924,0.176801016570161,7.7709355,0.15806752,0.0640812,0.02058458,-3.598250566637195,0.023762589879658298,0.00133363,-0.016851436,-0.06333265,-17.7617080680207,0.008441038895730607,0.038167167,0.0072204294,-0.03413174,-8.938199548086988,0.0086724453223307,
0000000000000000056b_0,0.28939104,1,0.8333333,0.51037693,0.094339624,-892.8058386264291,0.20606836877559007,0.13552362,-0.29983574,-0.7057851,-49.411497258202395,0.18701512677806897,23.418898,0.26688266,0.09472117,0.03729711,146.13171392025947,0.05344590627274282,-0.00279632,-0.03386711,-0.11057164,-44.867410118397096,0.021930451216364624,0.059019525,0.013757766,-0.012704102,33.920971950658824,0.014636498861790364,
00000000000000000570_0,0.14710347,1,0.8567639,0.4595915,0.014229812,-823.0701853990753,0.19979978906914392,0.14770459,-0.31693885,-0.78061223,-1270.4170702263452,0.20424744251450067,18.752495,0.56496114,0.086809546,0.04029993,125.40383012565674,0.05983506498367086,0.0011231,-0.026486048,-0.07019713,-71.58821703574945,0.01209879911393082,0.032945305,0.008269498,-0.22654288,-27.846134211484298,0.026682040355421478,
